area_code,area,com_code,item,subcom_code,subitem,source_code,source,unit,cf,cf_type,description,literature
32,Cameroon,c04,"Sawnwood, coniferous","","",c01,"Industrial roundwood, coniferous",m3rw/m3p,,cf_use,"",
33,Canada,c04,"Sawnwood, coniferous","","",c01,"Industrial roundwood, coniferous",m3rw/m3p,2.22,cf_use,"","FAO, ITTO and United Nations (2020)"
35,Cabo Verde,c04,"Sawnwood, coniferous","","",c01,"Industrial roundwood, coniferous",m3rw/m3p,,cf_use,"",
37,Central African Republic,c04,"Sawnwood, coniferous","","",c01,"Industrial roundwood, coniferous",m3rw/m3p,,cf_use,"",
38,Sri Lanka,c04,"Sawnwood, coniferous","","",c01,"Industrial roundwood, coniferous",m3rw/m3p,,cf_use,"",
39,Chad,c04,"Sawnwood, coniferous","","",c01,"Industrial roundwood, coniferous",m3rw/m3p,,cf_use,"",
40,Chile,c04,"Sawnwood, coniferous","","",c01,"Industrial roundwood, coniferous",m3rw/m3p,,cf_use,"",
41,"China, mainland",c04,"Sawnwood, coniferous","","",c01,"Industrial roundwood, coniferous",m3rw/m3p,2,cf_use,"","FAO, ITTO and United Nations (2020)"
42,Christmas Island,c04,"Sawnwood, coniferous","","",c01,"Industrial roundwood, coniferous",m3rw/m3p,,cf_use,"",
44,Colombia,c04,"Sawnwood, coniferous","","",c01,"Industrial roundwood, coniferous",m3rw/m3p,,cf_use,"",
45,Comoros,c04,"Sawnwood, coniferous","","",c01,"Industrial roundwood, coniferous",m3rw/m3p,,cf_use,"",
46,Congo,c04,"Sawnwood, coniferous","","",c01,"Industrial roundwood, coniferous",m3rw/m3p,,cf_use,"",
47,Cook Islands,c04,"Sawnwood, coniferous","","",c01,"Industrial roundwood, coniferous",m3rw/m3p,,cf_use,"",
48,Costa Rica,c04,"Sawnwood, coniferous","","",c01,"Industrial roundwood, coniferous",m3rw/m3p,,cf_use,"",
49,Cuba,c04,"Sawnwood, coniferous","","",c01,"Industrial roundwood, coniferous",m3rw/m3p,,cf_use,"",
50,Cyprus,c04,"Sawnwood, coniferous","","",c01,"Industrial roundwood, coniferous",m3rw/m3p,,cf_use,"",
51,Czechoslovakia,c04,"Sawnwood, coniferous","","",c01,"Industrial roundwood, coniferous",m3rw/m3p,,cf_use,"",
52,Azerbaijan,c04,"Sawnwood, coniferous","","",c01,"Industrial roundwood, coniferous",m3rw/m3p,,cf_use,"",
53,Benin,c04,"Sawnwood, coniferous","","",c01,"Industrial roundwood, coniferous",m3rw/m3p,,cf_use,"",
54,Denmark,c04,"Sawnwood, coniferous","","",c01,"Industrial roundwood, coniferous",m3rw/m3p,1.92,cf_use,"","FAO, ITTO and United Nations (2020)"
55,Dominica,c04,"Sawnwood, coniferous","","",c01,"Industrial roundwood, coniferous",m3rw/m3p,,cf_use,"",
56,Dominican Republic,c04,"Sawnwood, coniferous","","",c01,"Industrial roundwood, coniferous",m3rw/m3p,,cf_use,"",
57,Belarus,c04,"Sawnwood, coniferous","","",c01,"Industrial roundwood, coniferous",m3rw/m3p,,cf_use,"",
58,Ecuador,c04,"Sawnwood, coniferous","","",c01,"Industrial roundwood, coniferous",m3rw/m3p,,cf_use,"",
59,Egypt,c04,"Sawnwood, coniferous","","",c01,"Industrial roundwood, coniferous",m3rw/m3p,,cf_use,"",
60,El Salvador,c04,"Sawnwood, coniferous","","",c01,"Industrial roundwood, coniferous",m3rw/m3p,,cf_use,"",
61,Equatorial Guinea,c04,"Sawnwood, coniferous","","",c01,"Industrial roundwood, coniferous",m3rw/m3p,,cf_use,"",
63,Estonia,c04,"Sawnwood, coniferous","","",c01,"Industrial roundwood, coniferous",m3rw/m3p,,cf_use,"",
64,Faroe Islands,c04,"Sawnwood, coniferous","","",c01,"Industrial roundwood, coniferous",m3rw/m3p,,cf_use,"",
65,Falkland Islands (Malvinas),c04,"Sawnwood, coniferous","","",c01,"Industrial roundwood, coniferous",m3rw/m3p,,cf_use,"",
66,Fiji,c04,"Sawnwood, coniferous","","",c01,"Industrial roundwood, coniferous",m3rw/m3p,,cf_use,"",
67,Finland,c04,"Sawnwood, coniferous","","",c01,"Industrial roundwood, coniferous",m3rw/m3p,2,cf_use,"","FAO, ITTO and United Nations (2020)"
68,France,c04,"Sawnwood, coniferous","","",c01,"Industrial roundwood, coniferous",m3rw/m3p,1.81,cf_use,"","FAO, ITTO and United Nations (2020)"
69,French Guyana,c04,"Sawnwood, coniferous","","",c01,"Industrial roundwood, coniferous",m3rw/m3p,,cf_use,"",
70,French Polynesia,c04,"Sawnwood, coniferous","","",c01,"Industrial roundwood, coniferous",m3rw/m3p,,cf_use,"",
72,Djibouti,c04,"Sawnwood, coniferous","","",c01,"Industrial roundwood, coniferous",m3rw/m3p,,cf_use,"",
73,Georgia,c04,"Sawnwood, coniferous","","",c01,"Industrial roundwood, coniferous",m3rw/m3p,,cf_use,"",
74,Gabon,c04,"Sawnwood, coniferous","","",c01,"Industrial roundwood, coniferous",m3rw/m3p,,cf_use,"",
75,Gambia,c04,"Sawnwood, coniferous","","",c01,"Industrial roundwood, coniferous",m3rw/m3p,,cf_use,"",
79,Germany,c04,"Sawnwood, coniferous","","",c01,"Industrial roundwood, coniferous",m3rw/m3p,1.67,cf_use,"","FAO, ITTO and United Nations (2020)"
80,Bosnia and Herzegovina,c04,"Sawnwood, coniferous","","",c01,"Industrial roundwood, coniferous",m3rw/m3p,,cf_use,"",
81,Ghana,c04,"Sawnwood, coniferous","","",c01,"Industrial roundwood, coniferous",m3rw/m3p,,cf_use,"",
82,Gibraltar,c04,"Sawnwood, coniferous","","",c01,"Industrial roundwood, coniferous",m3rw/m3p,,cf_use,"",
83,Kiribati,c04,"Sawnwood, coniferous","","",c01,"Industrial roundwood, coniferous",m3rw/m3p,,cf_use,"",
84,Greece,c04,"Sawnwood, coniferous","","",c01,"Industrial roundwood, coniferous",m3rw/m3p,,cf_use,"",
87,Guadeloupe,c04,"Sawnwood, coniferous","","",c01,"Industrial roundwood, coniferous",m3rw/m3p,,cf_use,"",
89,Guatemala,c04,"Sawnwood, coniferous","","",c01,"Industrial roundwood, coniferous",m3rw/m3p,,cf_use,"",
90,Guinea,c04,"Sawnwood, coniferous","","",c01,"Industrial roundwood, coniferous",m3rw/m3p,,cf_use,"",
91,Guyana,c04,"Sawnwood, coniferous","","",c01,"Industrial roundwood, coniferous",m3rw/m3p,,cf_use,"",
93,Haiti,c04,"Sawnwood, coniferous","","",c01,"Industrial roundwood, coniferous",m3rw/m3p,,cf_use,"",
95,Honduras,c04,"Sawnwood, coniferous","","",c01,"Industrial roundwood, coniferous",m3rw/m3p,,cf_use,"",
96,"China, Hong Kong SAR",c04,"Sawnwood, coniferous","","",c01,"Industrial roundwood, coniferous",m3rw/m3p,,cf_use,"",
97,Hungary,c04,"Sawnwood, coniferous","","",c01,"Industrial roundwood, coniferous",m3rw/m3p,,cf_use,"",
98,Croatia,c04,"Sawnwood, coniferous","","",c01,"Industrial roundwood, coniferous",m3rw/m3p,1.54,cf_use,"","FAO, ITTO and United Nations (2020)"
99,Iceland,c04,"Sawnwood, coniferous","","",c01,"Industrial roundwood, coniferous",m3rw/m3p,,cf_use,"",
100,India,c04,"Sawnwood, coniferous","","",c01,"Industrial roundwood, coniferous",m3rw/m3p,,cf_use,"",
101,Indonesia,c04,"Sawnwood, coniferous","","",c01,"Industrial roundwood, coniferous",m3rw/m3p,2,cf_use,"","FAO, ITTO and United Nations (2020)"
102,Iran (Islamic Republic of),c04,"Sawnwood, coniferous","","",c01,"Industrial roundwood, coniferous",m3rw/m3p,,cf_use,"",
103,Iraq,c04,"Sawnwood, coniferous","","",c01,"Industrial roundwood, coniferous",m3rw/m3p,,cf_use,"",
104,Ireland,c04,"Sawnwood, coniferous","","",c01,"Industrial roundwood, coniferous",m3rw/m3p,1.89,cf_use,"","FAO, ITTO and United Nations (2020)"
105,Israel,c04,"Sawnwood, coniferous","","",c01,"Industrial roundwood, coniferous",m3rw/m3p,,cf_use,"",
106,Italy,c04,"Sawnwood, coniferous","","",c01,"Industrial roundwood, coniferous",m3rw/m3p,,cf_use,"",
107,Cote d'Ivoire,c04,"Sawnwood, coniferous","","",c01,"Industrial roundwood, coniferous",m3rw/m3p,,cf_use,"",
108,Kazakhstan,c04,"Sawnwood, coniferous","","",c01,"Industrial roundwood, coniferous",m3rw/m3p,,cf_use,"",
109,Jamaica,c04,"Sawnwood, coniferous","","",c01,"Industrial roundwood, coniferous",m3rw/m3p,,cf_use,"",
110,Japan,c04,"Sawnwood, coniferous","","",c01,"Industrial roundwood, coniferous",m3rw/m3p,1.57,cf_use,"","FAO, ITTO and United Nations (2020)"
112,Jordan,c04,"Sawnwood, coniferous","","",c01,"Industrial roundwood, coniferous",m3rw/m3p,,cf_use,"",
113,Kyrgyzstan,c04,"Sawnwood, coniferous","","",c01,"Industrial roundwood, coniferous",m3rw/m3p,,cf_use,"",
114,Kenya,c04,"Sawnwood, coniferous","","",c01,"Industrial roundwood, coniferous",m3rw/m3p,,cf_use,"",
115,Cambodia,c04,"Sawnwood, coniferous","","",c01,"Industrial roundwood, coniferous",m3rw/m3p,,cf_use,"",
116,Democratic People's Republic of Korea,c04,"Sawnwood, coniferous","","",c01,"Industrial roundwood, coniferous",m3rw/m3p,,cf_use,"",
117,Republic of Korea,c04,"Sawnwood, coniferous","","",c01,"Industrial roundwood, coniferous",m3rw/m3p,,cf_use,"",
118,Kuwait,c04,"Sawnwood, coniferous","","",c01,"Industrial roundwood, coniferous",m3rw/m3p,,cf_use,"",
119,Latvia,c04,"Sawnwood, coniferous","","",c01,"Industrial roundwood, coniferous",m3rw/m3p,,cf_use,"",
120,Lao People's Democratic Republic,c04,"Sawnwood, coniferous","","",c01,"Industrial roundwood, coniferous",m3rw/m3p,,cf_use,"",
121,Lebanon,c04,"Sawnwood, coniferous","","",c01,"Industrial roundwood, coniferous",m3rw/m3p,,cf_use,"",
122,Lesotho,c04,"Sawnwood, coniferous","","",c01,"Industrial roundwood, coniferous",m3rw/m3p,,cf_use,"",
123,Liberia,c04,"Sawnwood, coniferous","","",c01,"Industrial roundwood, coniferous",m3rw/m3p,,cf_use,"",
124,Libya,c04,"Sawnwood, coniferous","","",c01,"Industrial roundwood, coniferous",m3rw/m3p,,cf_use,"",
125,Liechtenstein,c04,"Sawnwood, coniferous","","",c01,"Industrial roundwood, coniferous",m3rw/m3p,,cf_use,"",
126,Lithuania,c04,"Sawnwood, coniferous","","",c01,"Industrial roundwood, coniferous",m3rw/m3p,2.08,cf_use,"","FAO, ITTO and United Nations (2020)"
128,"China, Macao SAR",c04,"Sawnwood, coniferous","","",c01,"Industrial roundwood, coniferous",m3rw/m3p,,cf_use,"",
129,Madagascar,c04,"Sawnwood, coniferous","","",c01,"Industrial roundwood, coniferous",m3rw/m3p,,cf_use,"",
130,Malawi,c04,"Sawnwood, coniferous","","",c01,"Industrial roundwood, coniferous",m3rw/m3p,,cf_use,"",
131,Malaysia,c04,"Sawnwood, coniferous","","",c01,"Industrial roundwood, coniferous",m3rw/m3p,,cf_use,"",
132,Maldives,c04,"Sawnwood, coniferous","","",c01,"Industrial roundwood, coniferous",m3rw/m3p,,cf_use,"",
133,Mali,c04,"Sawnwood, coniferous","","",c01,"Industrial roundwood, coniferous",m3rw/m3p,,cf_use,"",
134,Malta,c04,"Sawnwood, coniferous","","",c01,"Industrial roundwood, coniferous",m3rw/m3p,,cf_use,"",
135,Martinique,c04,"Sawnwood, coniferous","","",c01,"Industrial roundwood, coniferous",m3rw/m3p,,cf_use,"",
136,Mauritania,c04,"Sawnwood, coniferous","","",c01,"Industrial roundwood, coniferous",m3rw/m3p,,cf_use,"",
137,Mauritius,c04,"Sawnwood, coniferous","","",c01,"Industrial roundwood, coniferous",m3rw/m3p,,cf_use,"",
138,Mexico,c04,"Sawnwood, coniferous","","",c01,"Industrial roundwood, coniferous",m3rw/m3p,,cf_use,"",
141,Mongolia,c04,"Sawnwood, coniferous","","",c01,"Industrial roundwood, coniferous",m3rw/m3p,,cf_use,"",
143,Morocco,c04,"Sawnwood, coniferous","","",c01,"Industrial roundwood, coniferous",m3rw/m3p,,cf_use,"",
144,Mozambique,c04,"Sawnwood, coniferous","","",c01,"Industrial roundwood, coniferous",m3rw/m3p,,cf_use,"",
145,Micronesia (Federated States of),c04,"Sawnwood, coniferous","","",c01,"Industrial roundwood, coniferous",m3rw/m3p,,cf_use,"",
146,Republic of Moldova,c04,"Sawnwood, coniferous","","",c01,"Industrial roundwood, coniferous",m3rw/m3p,,cf_use,"",
147,Namibia,c04,"Sawnwood, coniferous","","",c01,"Industrial roundwood, coniferous",m3rw/m3p,,cf_use,"",
149,Nepal,c04,"Sawnwood, coniferous","","",c01,"Industrial roundwood, coniferous",m3rw/m3p,,cf_use,"",
150,Netherlands,c04,"Sawnwood, coniferous","","",c01,"Industrial roundwood, coniferous",m3rw/m3p,1.88,cf_use,"","FAO, ITTO and United Nations (2020)"
151,Netherlands Antilles,c04,"Sawnwood, coniferous","","",c01,"Industrial roundwood, coniferous",m3rw/m3p,,cf_use,"",
153,New Caledonia,c04,"Sawnwood, coniferous","","",c01,"Industrial roundwood, coniferous",m3rw/m3p,,cf_use,"",
154,North Macedonia,c04,"Sawnwood, coniferous","","",c01,"Industrial roundwood, coniferous",m3rw/m3p,,cf_use,"",
155,Vanuatu,c04,"Sawnwood, coniferous","","",c01,"Industrial roundwood, coniferous",m3rw/m3p,,cf_use,"",
156,New Zealand,c04,"Sawnwood, coniferous","","",c01,"Industrial roundwood, coniferous",m3rw/m3p,1.81,cf_use,"","FAO, ITTO and United Nations (2020)"
157,Nicaragua,c04,"Sawnwood, coniferous","","",c01,"Industrial roundwood, coniferous",m3rw/m3p,,cf_use,"",
158,Niger,c04,"Sawnwood, coniferous","","",c01,"Industrial roundwood, coniferous",m3rw/m3p,,cf_use,"",
159,Nigeria,c04,"Sawnwood, coniferous","","",c01,"Industrial roundwood, coniferous",m3rw/m3p,,cf_use,"",
160,Niue,c04,"Sawnwood, coniferous","","",c01,"Industrial roundwood, coniferous",m3rw/m3p,,cf_use,"",
161,Norfolk Island,c04,"Sawnwood, coniferous","","",c01,"Industrial roundwood, coniferous",m3rw/m3p,,cf_use,"",
162,Norway,c04,"Sawnwood, coniferous","","",c01,"Industrial roundwood, coniferous",m3rw/m3p,2,cf_use,"","FAO, ITTO and United Nations (2020)"
165,Pakistan,c04,"Sawnwood, coniferous","","",c01,"Industrial roundwood, coniferous",m3rw/m3p,,cf_use,"",
166,Panama,c04,"Sawnwood, coniferous","","",c01,"Industrial roundwood, coniferous",m3rw/m3p,,cf_use,"",
167,Czechia,c04,"Sawnwood, coniferous","","",c01,"Industrial roundwood, coniferous",m3rw/m3p,1.67,cf_use,"","FAO, ITTO and United Nations (2020)"
168,Papua New Guinea,c04,"Sawnwood, coniferous","","",c01,"Industrial roundwood, coniferous",m3rw/m3p,,cf_use,"",
169,Paraguay,c04,"Sawnwood, coniferous","","",c01,"Industrial roundwood, coniferous",m3rw/m3p,,cf_use,"",
170,Peru,c04,"Sawnwood, coniferous","","",c01,"Industrial roundwood, coniferous",m3rw/m3p,,cf_use,"",
171,Philippines,c04,"Sawnwood, coniferous","","",c01,"Industrial roundwood, coniferous",m3rw/m3p,,cf_use,"",
173,Poland,c04,"Sawnwood, coniferous","","",c01,"Industrial roundwood, coniferous",m3rw/m3p,1.64,cf_use,"","FAO, ITTO and United Nations (2020)"
174,Portugal,c04,"Sawnwood, coniferous","","",c01,"Industrial roundwood, coniferous",m3rw/m3p,2,cf_use,"","FAO, ITTO and United Nations (2020)"
175,Guinea-Bissau,c04,"Sawnwood, coniferous","","",c01,"Industrial roundwood, coniferous",m3rw/m3p,,cf_use,"",
176,Timor-Leste,c04,"Sawnwood, coniferous","","",c01,"Industrial roundwood, coniferous",m3rw/m3p,,cf_use,"",
178,Eritrea,c04,"Sawnwood, coniferous","","",c01,"Industrial roundwood, coniferous",m3rw/m3p,,cf_use,"",
179,Qatar,c04,"Sawnwood, coniferous","","",c01,"Industrial roundwood, coniferous",m3rw/m3p,,cf_use,"",
181,Zimbabwe,c04,"Sawnwood, coniferous","","",c01,"Industrial roundwood, coniferous",m3rw/m3p,,cf_use,"",
182,Reunion,c04,"Sawnwood, coniferous","","",c01,"Industrial roundwood, coniferous",m3rw/m3p,,cf_use,"",
183,Romania,c04,"Sawnwood, coniferous","","",c01,"Industrial roundwood, coniferous",m3rw/m3p,,cf_use,"",
184,Rwanda,c04,"Sawnwood, coniferous","","",c01,"Industrial roundwood, coniferous",m3rw/m3p,,cf_use,"",
185,Russian Federation,c04,"Sawnwood, coniferous","","",c01,"Industrial roundwood, coniferous",m3rw/m3p,,cf_use,"",
186,Serbia and Montenegro,c04,"Sawnwood, coniferous","","",c01,"Industrial roundwood, coniferous",m3rw/m3p,,cf_use,"",
189,Saint Lucia,c04,"Sawnwood, coniferous","","",c01,"Industrial roundwood, coniferous",m3rw/m3p,,cf_use,"",
190,Saint Pierre and Miquelon,c04,"Sawnwood, coniferous","","",c01,"Industrial roundwood, coniferous",m3rw/m3p,,cf_use,"",
191,Saint Vincent and the Grenadines,c04,"Sawnwood, coniferous","","",c01,"Industrial roundwood, coniferous",m3rw/m3p,,cf_use,"",
193,Sao Tome and Principe,c04,"Sawnwood, coniferous","","",c01,"Industrial roundwood, coniferous",m3rw/m3p,,cf_use,"",
194,Saudi Arabia,c04,"Sawnwood, coniferous","","",c01,"Industrial roundwood, coniferous",m3rw/m3p,,cf_use,"",
195,Senegal,c04,"Sawnwood, coniferous","","",c01,"Industrial roundwood, coniferous",m3rw/m3p,,cf_use,"",
196,Seychelles,c04,"Sawnwood, coniferous","","",c01,"Industrial roundwood, coniferous",m3rw/m3p,,cf_use,"",
197,Sierra Leone,c04,"Sawnwood, coniferous","","",c01,"Industrial roundwood, coniferous",m3rw/m3p,,cf_use,"",
198,Slovenia,c04,"Sawnwood, coniferous","","",c01,"Industrial roundwood, coniferous",m3rw/m3p,1.75,cf_use,"","FAO, ITTO and United Nations (2020)"
199,Slovakia,c04,"Sawnwood, coniferous","","",c01,"Industrial roundwood, coniferous",m3rw/m3p,1.72,cf_use,"","FAO, ITTO and United Nations (2020)"
200,Singapore,c04,"Sawnwood, coniferous","","",c01,"Industrial roundwood, coniferous",m3rw/m3p,,cf_use,"",
201,Somalia,c04,"Sawnwood, coniferous","","",c01,"Industrial roundwood, coniferous",m3rw/m3p,,cf_use,"",
202,South Africa,c04,"Sawnwood, coniferous","","",c01,"Industrial roundwood, coniferous",m3rw/m3p,2.08,cf_use,"","FAO, ITTO and United Nations (2020)"
203,Spain,c04,"Sawnwood, coniferous","","",c01,"Industrial roundwood, coniferous",m3rw/m3p,1.69,cf_use,"","FAO, ITTO and United Nations (2020)"
207,Suriname,c04,"Sawnwood, coniferous","","",c01,"Industrial roundwood, coniferous",m3rw/m3p,,cf_use,"",
208,Tajikistan,c04,"Sawnwood, coniferous","","",c01,"Industrial roundwood, coniferous",m3rw/m3p,,cf_use,"",
209,Eswatini,c04,"Sawnwood, coniferous","","",c01,"Industrial roundwood, coniferous",m3rw/m3p,,cf_use,"",
210,Sweden,c04,"Sawnwood, coniferous","","",c01,"Industrial roundwood, coniferous",m3rw/m3p,2.04,cf_use,"","FAO, ITTO and United Nations (2020)"
211,Switzerland,c04,"Sawnwood, coniferous","","",c01,"Industrial roundwood, coniferous",m3rw/m3p,,cf_use,"",
212,Syrian Arab Republic,c04,"Sawnwood, coniferous","","",c01,"Industrial roundwood, coniferous",m3rw/m3p,,cf_use,"",
213,Turkmenistan,c04,"Sawnwood, coniferous","","",c01,"Industrial roundwood, coniferous",m3rw/m3p,,cf_use,"",
214,"China, Taiwan Province of",c04,"Sawnwood, coniferous","","",c01,"Industrial roundwood, coniferous",m3rw/m3p,,cf_use,"",
215,United Republic of Tanzania,c04,"Sawnwood, coniferous","","",c01,"Industrial roundwood, coniferous",m3rw/m3p,,cf_use,"",
216,Thailand,c04,"Sawnwood, coniferous","","",c01,"Industrial roundwood, coniferous",m3rw/m3p,,cf_use,"",
217,Togo,c04,"Sawnwood, coniferous","","",c01,"Industrial roundwood, coniferous",m3rw/m3p,,cf_use,"",
219,Tonga,c04,"Sawnwood, coniferous","","",c01,"Industrial roundwood, coniferous",m3rw/m3p,,cf_use,"",
220,Trinidad and Tobago,c04,"Sawnwood, coniferous","","",c01,"Industrial roundwood, coniferous",m3rw/m3p,,cf_use,"",
221,Oman,c04,"Sawnwood, coniferous","","",c01,"Industrial roundwood, coniferous",m3rw/m3p,,cf_use,"",
222,Tunisia,c04,"Sawnwood, coniferous","","",c01,"Industrial roundwood, coniferous",m3rw/m3p,,cf_use,"",
223,Turkey,c04,"Sawnwood, coniferous","","",c01,"Industrial roundwood, coniferous",m3rw/m3p,,cf_use,"",
224,Turks and Caicos Islands,c04,"Sawnwood, coniferous","","",c01,"Industrial roundwood, coniferous",m3rw/m3p,,cf_use,"",
225,United Arab Emirates,c04,"Sawnwood, coniferous","","",c01,"Industrial roundwood, coniferous",m3rw/m3p,,cf_use,"",
226,Uganda,c04,"Sawnwood, coniferous","","",c01,"Industrial roundwood, coniferous",m3rw/m3p,,cf_use,"",
229,United Kingdom,c04,"Sawnwood, coniferous","","",c01,"Industrial roundwood, coniferous",m3rw/m3p,1.85,cf_use,"","FAO, ITTO and United Nations (2020)"
230,Ukraine,c04,"Sawnwood, coniferous","","",c01,"Industrial roundwood, coniferous",m3rw/m3p,1.78,cf_use,"","FAO, ITTO and United Nations (2020)"
231,United States of America,c04,"Sawnwood, coniferous","","",c01,"Industrial roundwood, coniferous",m3rw/m3p,2.04,cf_use,"","FAO, ITTO and United Nations (2020)"
233,Burkina Faso,c04,"Sawnwood, coniferous","","",c01,"Industrial roundwood, coniferous",m3rw/m3p,,cf_use,"",
234,Uruguay,c04,"Sawnwood, coniferous","","",c01,"Industrial roundwood, coniferous",m3rw/m3p,2.02,cf_use,"","FAO, ITTO and United Nations (2020)"
235,Uzbekistan,c04,"Sawnwood, coniferous","","",c01,"Industrial roundwood, coniferous",m3rw/m3p,,cf_use,"",
236,Venezuela (Bolivarian Republic of),c04,"Sawnwood, coniferous","","",c01,"Industrial roundwood, coniferous",m3rw/m3p,,cf_use,"",
237,Viet Nam,c04,"Sawnwood, coniferous","","",c01,"Industrial roundwood, coniferous",m3rw/m3p,,cf_use,"",
238,Ethiopia,c04,"Sawnwood, coniferous","","",c01,"Industrial roundwood, coniferous",m3rw/m3p,,cf_use,"",
239,British Virgin Islands,c04,"Sawnwood, coniferous","","",c01,"Industrial roundwood, coniferous",m3rw/m3p,,cf_use,"",
244,Samoa,c04,"Sawnwood, coniferous","","",c01,"Industrial roundwood, coniferous",m3rw/m3p,,cf_use,"",
249,Yemen,c04,"Sawnwood, coniferous","","",c01,"Industrial roundwood, coniferous",m3rw/m3p,,cf_use,"",
250,Democratic Republic of the Congo,c04,"Sawnwood, coniferous","","",c01,"Industrial roundwood, coniferous",m3rw/m3p,,cf_use,"",
251,Zambia,c04,"Sawnwood, coniferous","","",c01,"Industrial roundwood, coniferous",m3rw/m3p,,cf_use,"",
255,Belgium,c04,"Sawnwood, coniferous","","",c01,"Industrial roundwood, coniferous",m3rw/m3p,,cf_use,"",
256,Luxembourg,c04,"Sawnwood, coniferous","","",c01,"Industrial roundwood, coniferous",m3rw/m3p,,cf_use,"",
270,Mayotte,c04,"Sawnwood, coniferous","","",c01,"Industrial roundwood, coniferous",m3rw/m3p,,cf_use,"",
272,Serbia,c04,"Sawnwood, coniferous","","",c01,"Industrial roundwood, coniferous",m3rw/m3p,,cf_use,"",
273,Montenegro,c04,"Sawnwood, coniferous","","",c01,"Industrial roundwood, coniferous",m3rw/m3p,,cf_use,"",
276,Sudan,c04,"Sawnwood, coniferous","","",c01,"Industrial roundwood, coniferous",m3rw/m3p,,cf_use,"",
277,South Sudan,c04,"Sawnwood, coniferous","","",c01,"Industrial roundwood, coniferous",m3rw/m3p,,cf_use,"",
5,American Samoa,c04,"Sawnwood, coniferous","","",c01,"Industrial roundwood, coniferous",m3rw/m3p,,cf_use,"",
8,Antigua and Barbuda,c04,"Sawnwood, coniferous","","",c01,"Industrial roundwood, coniferous",m3rw/m3p,,cf_use,"",
17,Bermuda,c04,"Sawnwood, coniferous","","",c01,"Industrial roundwood, coniferous",m3rw/m3p,,cf_use,"",
24,British Indian Ocean Territory,c04,"Sawnwood, coniferous","","",c01,"Industrial roundwood, coniferous",m3rw/m3p,,cf_use,"",
