code;name;proc_code;process;com_code;item_name;conversion_factor
108;Kazakhstan;p04;Sawnmill industry, coniferous;c04;Sawnwood, coniferous;
109;Jamaica;p04;Sawnmill industry, coniferous;c04;Sawnwood, coniferous;
110;Japan;p04;Sawnmill industry, coniferous;c04;Sawnwood, coniferous;
112;Jordan;p04;Sawnmill industry, coniferous;c04;Sawnwood, coniferous;
113;Kyrgyzstan;p04;Sawnmill industry, coniferous;c04;Sawnwood, coniferous;
114;Kenya;p04;Sawnmill industry, coniferous;c04;Sawnwood, coniferous;
115;Cambodia;p04;Sawnmill industry, coniferous;c04;Sawnwood, coniferous;
116;Democratic People's Republic of Korea;p04;Sawnmill industry, coniferous;c04;Sawnwood, coniferous;
117;Republic of Korea;p04;Sawnmill industry, coniferous;c04;Sawnwood, coniferous;
118;Kuwait;p04;Sawnmill industry, coniferous;c04;Sawnwood, coniferous;
119;Latvia;p04;Sawnmill industry, coniferous;c04;Sawnwood, coniferous;
120;Lao People's Democratic Republic;p04;Sawnmill industry, coniferous;c04;Sawnwood, coniferous;
121;Lebanon;p04;Sawnmill industry, coniferous;c04;Sawnwood, coniferous;
122;Lesotho;p04;Sawnmill industry, coniferous;c04;Sawnwood, coniferous;
123;Liberia;p04;Sawnmill industry, coniferous;c04;Sawnwood, coniferous;
124;Libya;p04;Sawnmill industry, coniferous;c04;Sawnwood, coniferous;
125;Liechtenstein;p04;Sawnmill industry, coniferous;c04;Sawnwood, coniferous;
126;Lithuania;p04;Sawnmill industry, coniferous;c04;Sawnwood, coniferous;48
128;China, Macao SAR;p04;Sawnmill industry, coniferous;c04;Sawnwood, coniferous;
129;Madagascar;p04;Sawnmill industry, coniferous;c04;Sawnwood, coniferous;
130;Malawi;p04;Sawnmill industry, coniferous;c04;Sawnwood, coniferous;
131;Malaysia;p04;Sawnmill industry, coniferous;c04;Sawnwood, coniferous;
132;Maldives;p04;Sawnmill industry, coniferous;c04;Sawnwood, coniferous;
133;Mali;p04;Sawnmill industry, coniferous;c04;Sawnwood, coniferous;
134;Malta;p04;Sawnmill industry, coniferous;c04;Sawnwood, coniferous;
135;Martinique;p04;Sawnmill industry, coniferous;c04;Sawnwood, coniferous;
136;Mauritania;p04;Sawnmill industry, coniferous;c04;Sawnwood, coniferous;
137;Mauritius;p04;Sawnmill industry, coniferous;c04;Sawnwood, coniferous;
138;Mexico;p04;Sawnmill industry, coniferous;c04;Sawnwood, coniferous;
141;Mongolia;p04;Sawnmill industry, coniferous;c04;Sawnwood, coniferous;
143;Morocco;p04;Sawnmill industry, coniferous;c04;Sawnwood, coniferous;
144;Mozambique;p04;Sawnmill industry, coniferous;c04;Sawnwood, coniferous;
145;Micronesia (Federated States of);p04;Sawnmill industry, coniferous;c04;Sawnwood, coniferous;
146;Republic of Moldova;p04;Sawnmill industry, coniferous;c04;Sawnwood, coniferous;
147;Namibia;p04;Sawnmill industry, coniferous;c04;Sawnwood, coniferous;
149;Nepal;p04;Sawnmill industry, coniferous;c04;Sawnwood, coniferous;
150;Netherlands;p04;Sawnmill industry, coniferous;c04;Sawnwood, coniferous;53
151;Netherlands Antilles;p04;Sawnmill industry, coniferous;c04;Sawnwood, coniferous;
153;New Caledonia;p04;Sawnmill industry, coniferous;c04;Sawnwood, coniferous;
154;North Macedonia;p04;Sawnmill industry, coniferous;c04;Sawnwood, coniferous;
155;Vanuatu;p04;Sawnmill industry, coniferous;c04;Sawnwood, coniferous;
156;New Zealand;p04;Sawnmill industry, coniferous;c04;Sawnwood, coniferous;
157;Nicaragua;p04;Sawnmill industry, coniferous;c04;Sawnwood, coniferous;
158;Niger;p04;Sawnmill industry, coniferous;c04;Sawnwood, coniferous;
159;Nigeria;p04;Sawnmill industry, coniferous;c04;Sawnwood, coniferous;
160;Niue;p04;Sawnmill industry, coniferous;c04;Sawnwood, coniferous;
161;Norfolk Island;p04;Sawnmill industry, coniferous;c04;Sawnwood, coniferous;
162;Norway;p04;Sawnmill industry, coniferous;c04;Sawnwood, coniferous;50
165;Pakistan;p04;Sawnmill industry, coniferous;c04;Sawnwood, coniferous;
166;Panama;p04;Sawnmill industry, coniferous;c04;Sawnwood, coniferous;
167;Czechia;p04;Sawnmill industry, coniferous;c04;Sawnwood, coniferous;60
168;Papua New Guinea;p04;Sawnmill industry, coniferous;c04;Sawnwood, coniferous;
169;Paraguay;p04;Sawnmill industry, coniferous;c04;Sawnwood, coniferous;
170;Peru;p04;Sawnmill industry, coniferous;c04;Sawnwood, coniferous;
171;Philippines;p04;Sawnmill industry, coniferous;c04;Sawnwood, coniferous;
173;Poland;p04;Sawnmill industry, coniferous;c04;Sawnwood, coniferous;60
174;Portugal;p04;Sawnmill industry, coniferous;c04;Sawnwood, coniferous;50
175;Guinea-Bissau;p04;Sawnmill industry, coniferous;c04;Sawnwood, coniferous;
176;Timor-Leste;p04;Sawnmill industry, coniferous;c04;Sawnwood, coniferous;
178;Eritrea;p04;Sawnmill industry, coniferous;c04;Sawnwood, coniferous;
179;Qatar;p04;Sawnmill industry, coniferous;c04;Sawnwood, coniferous;
181;Zimbabwe;p04;Sawnmill industry, coniferous;c04;Sawnwood, coniferous;
182;Reunion;p04;Sawnmill industry, coniferous;c04;Sawnwood, coniferous;
183;Romania;p04;Sawnmill industry, coniferous;c04;Sawnwood, coniferous;
184;Rwanda;p04;Sawnmill industry, coniferous;c04;Sawnwood, coniferous;
185;Russian Federation;p04;Sawnmill industry, coniferous;c04;Sawnwood, coniferous;
186;Serbia and Montenegro;p04;Sawnmill industry, coniferous;c04;Sawnwood, coniferous;
189;Saint Lucia;p04;Sawnmill industry, coniferous;c04;Sawnwood, coniferous;
190;Saint Pierre and Miquelon;p04;Sawnmill industry, coniferous;c04;Sawnwood, coniferous;
191;Saint Vincent and the Grenadines;p04;Sawnmill industry, coniferous;c04;Sawnwood, coniferous;
193;Sao Tome and Principe;p04;Sawnmill industry, coniferous;c04;Sawnwood, coniferous;
194;Saudi Arabia;p04;Sawnmill industry, coniferous;c04;Sawnwood, coniferous;
195;Senegal;p04;Sawnmill industry, coniferous;c04;Sawnwood, coniferous;
196;Seychelles;p04;Sawnmill industry, coniferous;c04;Sawnwood, coniferous;
197;Sierra Leone;p04;Sawnmill industry, coniferous;c04;Sawnwood, coniferous;
198;Slovenia;p04;Sawnmill industry, coniferous;c04;Sawnwood, coniferous;56
199;Slovakia;p04;Sawnmill industry, coniferous;c04;Sawnwood, coniferous;58
200;Singapore;p04;Sawnmill industry, coniferous;c04;Sawnwood, coniferous;
201;Somalia;p04;Sawnmill industry, coniferous;c04;Sawnwood, coniferous;
202;South Africa;p04;Sawnmill industry, coniferous;c04;Sawnwood, coniferous;48
203;Spain;p04;Sawnmill industry, coniferous;c04;Sawnwood, coniferous;59
207;Suriname;p04;Sawnmill industry, coniferous;c04;Sawnwood, coniferous;
208;Tajikistan;p04;Sawnmill industry, coniferous;c04;Sawnwood, coniferous;
209;Eswatini;p04;Sawnmill industry, coniferous;c04;Sawnwood, coniferous;
210;Sweden;p04;Sawnmill industry, coniferous;c04;Sawnwood, coniferous;49
211;Switzerland;p04;Sawnmill industry, coniferous;c04;Sawnwood, coniferous;
212;Syrian Arab Republic;p04;Sawnmill industry, coniferous;c04;Sawnwood, coniferous;
213;Turkmenistan;p04;Sawnmill industry, coniferous;c04;Sawnwood, coniferous;
214;China, Taiwan Province of;p04;Sawnmill industry, coniferous;c04;Sawnwood, coniferous;
215;United Republic of Tanzania;p04;Sawnmill industry, coniferous;c04;Sawnwood, coniferous;
216;Thailand;p04;Sawnmill industry, coniferous;c04;Sawnwood, coniferous;
217;Togo;p04;Sawnmill industry, coniferous;c04;Sawnwood, coniferous;
219;Tonga;p04;Sawnmill industry, coniferous;c04;Sawnwood, coniferous;
220;Trinidad and Tobago;p04;Sawnmill industry, coniferous;c04;Sawnwood, coniferous;
221;Oman;p04;Sawnmill industry, coniferous;c04;Sawnwood, coniferous;
222;Tunisia;p04;Sawnmill industry, coniferous;c04;Sawnwood, coniferous;
223;Turkey;p04;Sawnmill industry, coniferous;c04;Sawnwood, coniferous;
224;Turks and Caicos Islands;p04;Sawnmill industry, coniferous;c04;Sawnwood, coniferous;
225;United Arab Emirates;p04;Sawnmill industry, coniferous;c04;Sawnwood, coniferous;
226;Uganda;p04;Sawnmill industry, coniferous;c04;Sawnwood, coniferous;
229;United Kingdom;p04;Sawnmill industry, coniferous;c04;Sawnwood, coniferous;54
230;Ukraine;p04;Sawnmill industry, coniferous;c04;Sawnwood, coniferous;56
231;United States of America;p04;Sawnmill industry, coniferous;c04;Sawnwood, coniferous;49
233;Burkina Faso;p04;Sawnmill industry, coniferous;c04;Sawnwood, coniferous;
234;Uruguay;p04;Sawnmill industry, coniferous;c04;Sawnwood, coniferous;
235;Uzbekistan;p04;Sawnmill industry, coniferous;c04;Sawnwood, coniferous;
236;Venezuela (Bolivarian Republic of);p04;Sawnmill industry, coniferous;c04;Sawnwood, coniferous;
237;Viet Nam;p04;Sawnmill industry, coniferous;c04;Sawnwood, coniferous;
238;Ethiopia;p04;Sawnmill industry, coniferous;c04;Sawnwood, coniferous;
239;British Virgin Islands;p04;Sawnmill industry, coniferous;c04;Sawnwood, coniferous;
244;Samoa;p04;Sawnmill industry, coniferous;c04;Sawnwood, coniferous;
249;Yemen;p04;Sawnmill industry, coniferous;c04;Sawnwood, coniferous;
250;Democratic Republic of the Congo;p04;Sawnmill industry, coniferous;c04;Sawnwood, coniferous;
251;Zambia;p04;Sawnmill industry, coniferous;c04;Sawnwood, coniferous;
255;Belgium;p04;Sawnmill industry, coniferous;c04;Sawnwood, coniferous;
256;Luxembourg;p04;Sawnmill industry, coniferous;c04;Sawnwood, coniferous;
270;Mayotte;p04;Sawnmill industry, coniferous;c04;Sawnwood, coniferous;
272;Serbia;p04;Sawnmill industry, coniferous;c04;Sawnwood, coniferous;
273;Montenegro;p04;Sawnmill industry, coniferous;c04;Sawnwood, coniferous;
276;Sudan;p04;Sawnmill industry, coniferous;c04;Sawnwood, coniferous;
277;South Sudan;p04;Sawnmill industry, coniferous;c04;Sawnwood, coniferous;
5;American Samoa;p04;Sawnmill industry, coniferous;c04;Sawnwood, coniferous;
8;Antigua and Barbuda;p04;Sawnmill industry, coniferous;c04;Sawnwood, coniferous;
17;Bermuda;p04;Sawnmill industry, coniferous;c04;Sawnwood, coniferous;
24;British Indian Ocean Territory;p04;Sawnmill industry, coniferous;c04;Sawnwood, coniferous;
36;Cayman Islands;p04;Sawnmill industry, coniferous;c04;Sawnwood, coniferous;
43;Cocos (Keeling) Islands;p04;Sawnmill industry, coniferous;c04;Sawnwood, coniferous;
71;French Southern and Antarctic Territories;p04;Sawnmill industry, coniferous;c04;Sawnwood, coniferous;
85;Greenland;p04;Sawnmill industry, coniferous;c04;Sawnwood, coniferous;
86;Grenada;p04;Sawnmill industry, coniferous;c04;Sawnwood, coniferous;
88;Guam;p04;Sawnmill industry, coniferous;c04;Sawnwood, coniferous;
94;Holy See;p04;Sawnmill industry, coniferous;c04;Sawnwood, coniferous;
127;Marshall Islands;p04;Sawnmill industry, coniferous;c04;Sawnwood, coniferous;
142;Montserrat;p04;Sawnmill industry, coniferous;c04;Sawnwood, coniferous;
148;Nauru;p04;Sawnmill industry, coniferous;c04;Sawnwood, coniferous;
163;Northern Mariana Islands;p04;Sawnmill industry, coniferous;c04;Sawnwood, coniferous;
164;Pacific Islands Trust Territory;p04;Sawnmill industry, coniferous;c04;Sawnwood, coniferous;
172;Pitcairn Islands;p04;Sawnmill industry, coniferous;c04;Sawnwood, coniferous;
180;Palau;p04;Sawnmill industry, coniferous;c04;Sawnwood, coniferous;
187;Saint Helena, Ascension and Tristan da Cunha;p04;Sawnmill industry, coniferous;c04;Sawnwood, coniferous;
188;Saint Kitts and Nevis;p04;Sawnmill industry, coniferous;c04;Sawnwood, coniferous;
192;San Marino;p04;Sawnmill industry, coniferous;c04;Sawnwood, coniferous;
205;Western Sahara;p04;Sawnmill industry, coniferous;c04;Sawnwood, coniferous;
218;Tokelau;p04;Sawnmill industry, coniferous;c04;Sawnwood, coniferous;
227;Tuvalu;p04;Sawnmill industry, coniferous;c04;Sawnwood, coniferous;
228;USSR;p04;Sawnmill industry, coniferous;c04;Sawnwood, coniferous;
242;Wake Island;p04;Sawnmill industry, coniferous;c04;Sawnwood, coniferous;
243;Wallis and Futuna Islands;p04;Sawnmill industry, coniferous;c04;Sawnwood, coniferous;
248;Yugoslav SFR;p04;Sawnmill industry, coniferous;c04;Sawnwood, coniferous;
258;Anguilla;p04;Sawnmill industry, coniferous;c04;Sawnwood, coniferous;
279;Curaçao;p04;Sawnmill industry, coniferous;c04;Sawnwood, coniferous;
281;Saint-Martin (French Part);p04;Sawnmill industry, coniferous;c04;Sawnwood, coniferous;
299;Palestine;p04;Sawnmill industry, coniferous;c04;Sawnwood, coniferous;
252;Unspecified Area;p04;Sawnmill industry, coniferous;c04;Sawnwood, coniferous;
254;Others (adjustment);p04;Sawnmill industry, coniferous;c04;Sawnwood, coniferous;
;ASI;p04;Sawnmill industry, coniferous;c04;Sawnwood, coniferous;50
;EUR;p04;Sawnmill industry, coniferous;c04;Sawnwood, coniferous;55
;AFR;p04;Sawnmill industry, coniferous;c04;Sawnwood, coniferous;48
;LAM;p04;Sawnmill industry, coniferous;c04;Sawnwood, coniferous;48
;OCE;p04;Sawnmill industry, coniferous;c04;Sawnwood, coniferous;
;NAM;p04;Sawnmill industry, coniferous;c04;Sawnwood, coniferous;47
1;Armenia;p05;Sawnmill industry, non-coniferous all;c05;Sawnwood, non-coniferous all;
2;Afghanistan;p05;Sawnmill industry, non-coniferous all;c05;Sawnwood, non-coniferous all;
3;Albania;p05;Sawnmill industry, non-coniferous all;c05;Sawnwood, non-coniferous all;
4;Algeria;p05;Sawnmill industry, non-coniferous all;c05;Sawnwood, non-coniferous all;
6;Andorra;p05;Sawnmill industry, non-coniferous all;c05;Sawnwood, non-coniferous all;
7;Angola;p05;Sawnmill industry, non-coniferous all;c05;Sawnwood, non-coniferous all;
9;Argentina;p05;Sawnmill industry, non-coniferous all;c05;Sawnwood, non-coniferous all;
10;Australia;p05;Sawnmill industry, non-coniferous all;c05;Sawnwood, non-coniferous all;
11;Austria;p05;Sawnmill industry, non-coniferous all;c05;Sawnwood, non-coniferous all;35
12;Bahamas;p05;Sawnmill industry, non-coniferous all;c05;Sawnwood, non-coniferous all;
13;Bahrain;p05;Sawnmill industry, non-coniferous all;c05;Sawnwood, non-coniferous all;
14;Barbados;p05;Sawnmill industry, non-coniferous all;c05;Sawnwood, non-coniferous all;
15;Belgium-Luxembourg;p05;Sawnmill industry, non-coniferous all;c05;Sawnwood, non-coniferous all;
16;Bangladesh;p05;Sawnmill industry, non-coniferous all;c05;Sawnwood, non-coniferous all;
18;Bhutan;p05;Sawnmill industry, non-coniferous all;c05;Sawnwood, non-coniferous all;
19;Bolivia (Plurinational State of);p05;Sawnmill industry, non-coniferous all;c05;Sawnwood, non-coniferous all;
20;Botswana;p05;Sawnmill industry, non-coniferous all;c05;Sawnwood, non-coniferous all;
21;Brazil;p05;Sawnmill industry, non-coniferous all;c05;Sawnwood, non-coniferous all;45
22;Aruba;p05;Sawnmill industry, non-coniferous all;c05;Sawnwood, non-coniferous all;
23;Belize;p05;Sawnmill industry, non-coniferous all;c05;Sawnwood, non-coniferous all;
25;Solomon Islands;p05;Sawnmill industry, non-coniferous all;c05;Sawnwood, non-coniferous all;
26;Brunei Darussalam;p05;Sawnmill industry, non-coniferous all;c05;Sawnwood, non-coniferous all;
27;Bulgaria;p05;Sawnmill industry, non-coniferous all;c05;Sawnwood, non-coniferous all;
28;Myanmar;p05;Sawnmill industry, non-coniferous all;c05;Sawnwood, non-coniferous all;
29;Burundi;p05;Sawnmill industry, non-coniferous all;c05;Sawnwood, non-coniferous all;
32;Cameroon;p05;Sawnmill industry, non-coniferous all;c05;Sawnwood, non-coniferous all;
33;Canada;p05;Sawnmill industry, non-coniferous all;c05;Sawnwood, non-coniferous all;51
35;Cabo Verde;p05;Sawnmill industry, non-coniferous all;c05;Sawnwood, non-coniferous all;
37;Central African Republic;p05;Sawnmill industry, non-coniferous all;c05;Sawnwood, non-coniferous all;
38;Sri Lanka;p05;Sawnmill industry, non-coniferous all;c05;Sawnwood, non-coniferous all;
39;Chad;p05;Sawnmill industry, non-coniferous all;c05;Sawnwood, non-coniferous all;
40;Chile;p05;Sawnmill industry, non-coniferous all;c05;Sawnwood, non-coniferous all;52
41;China, mainland;p05;Sawnmill industry, non-coniferous all;c05;Sawnwood, non-coniferous all;60
42;Christmas Island;p05;Sawnmill industry, non-coniferous all;c05;Sawnwood, non-coniferous all;
44;Colombia;p05;Sawnmill industry, non-coniferous all;c05;Sawnwood, non-coniferous all;
45;Comoros;p05;Sawnmill industry, non-coniferous all;c05;Sawnwood, non-coniferous all;
46;Congo;p05;Sawnmill industry, non-coniferous all;c05;Sawnwood, non-coniferous all;
47;Cook Islands;p05;Sawnmill industry, non-coniferous all;c05;Sawnwood, non-coniferous all;
48;Costa Rica;p05;Sawnmill industry, non-coniferous all;c05;Sawnwood, non-coniferous all;
49;Cuba;p05;Sawnmill industry, non-coniferous all;c05;Sawnwood, non-coniferous all;
50;Cyprus;p05;Sawnmill industry, non-coniferous all;c05;Sawnwood, non-coniferous all;
51;Czechoslovakia;p05;Sawnmill industry, non-coniferous all;c05;Sawnwood, non-coniferous all;
52;Azerbaijan;p05;Sawnmill industry, non-coniferous all;c05;Sawnwood, non-coniferous all;
53;Benin;p05;Sawnmill industry, non-coniferous all;c05;Sawnwood, non-coniferous all;
54;Denmark;p05;Sawnmill industry, non-coniferous all;c05;Sawnwood, non-coniferous all;47
55;Dominica;p05;Sawnmill industry, non-coniferous all;c05;Sawnwood, non-coniferous all;
56;Dominican Republic;p05;Sawnmill industry, non-coniferous all;c05;Sawnwood, non-coniferous all;
57;Belarus;p05;Sawnmill industry, non-coniferous all;c05;Sawnwood, non-coniferous all;
58;Ecuador;p05;Sawnmill industry, non-coniferous all;c05;Sawnwood, non-coniferous all;
59;Egypt;p05;Sawnmill industry, non-coniferous all;c05;Sawnwood, non-coniferous all;
60;El Salvador;p05;Sawnmill industry, non-coniferous all;c05;Sawnwood, non-coniferous all;
61;Equatorial Guinea;p05;Sawnmill industry, non-coniferous all;c05;Sawnwood, non-coniferous all;
63;Estonia;p05;Sawnmill industry, non-coniferous all;c05;Sawnwood, non-coniferous all;
64;Faroe Islands;p05;Sawnmill industry, non-coniferous all;c05;Sawnwood, non-coniferous all;
65;Falkland Islands (Malvinas);p05;Sawnmill industry, non-coniferous all;c05;Sawnwood, non-coniferous all;
66;Fiji;p05;Sawnmill industry, non-coniferous all;c05;Sawnwood, non-coniferous all;
67;Finland;p05;Sawnmill industry, non-coniferous all;c05;Sawnwood, non-coniferous all;54
68;France;p05;Sawnmill industry, non-coniferous all;c05;Sawnwood, non-coniferous all;47
69;French Guyana;p05;Sawnmill industry, non-coniferous all;c05;Sawnwood, non-coniferous all;
70;French Polynesia;p05;Sawnmill industry, non-coniferous all;c05;Sawnwood, non-coniferous all;
72;Djibouti;p05;Sawnmill industry, non-coniferous all;c05;Sawnwood, non-coniferous all;
73;Georgia;p05;Sawnmill industry, non-coniferous all;c05;Sawnwood, non-coniferous all;
74;Gabon;p05;Sawnmill industry, non-coniferous all;c05;Sawnwood, non-coniferous all;
75;Gambia;p05;Sawnmill industry, non-coniferous all;c05;Sawnwood, non-coniferous all;
79;Germany;p05;Sawnmill industry, non-coniferous all;c05;Sawnwood, non-coniferous all;60
80;Bosnia and Herzegovina;p05;Sawnmill industry, non-coniferous all;c05;Sawnwood, non-coniferous all;
81;Ghana;p05;Sawnmill industry, non-coniferous all;c05;Sawnwood, non-coniferous all;
82;Gibraltar;p05;Sawnmill industry, non-coniferous all;c05;Sawnwood, non-coniferous all;
83;Kiribati;p05;Sawnmill industry, non-coniferous all;c05;Sawnwood, non-coniferous all;
84;Greece;p05;Sawnmill industry, non-coniferous all;c05;Sawnwood, non-coniferous all;
87;Guadeloupe;p05;Sawnmill industry, non-coniferous all;c05;Sawnwood, non-coniferous all;
89;Guatemala;p05;Sawnmill industry, non-coniferous all;c05;Sawnwood, non-coniferous all;
90;Guinea;p05;Sawnmill industry, non-coniferous all;c05;Sawnwood, non-coniferous all;
91;Guyana;p05;Sawnmill industry, non-coniferous all;c05;Sawnwood, non-coniferous all;40
