area_code,area,com_code,item,source_code,source,unit,cf,cf_type,description,literature
48,Costa Rica,c01,"Industrial roundwood, coniferous",,,tC/m3,0.2063225,cf_wdensity,carbon conversion factor per air dry volumen,
49,Cuba,c01,"Industrial roundwood, coniferous",,,tC/m3,0.2063225,cf_wdensity,carbon conversion factor per air dry volumen,
50,Cyprus,c01,"Industrial roundwood, coniferous",,,tC/m3,0.210117119444445,cf_wdensity,carbon conversion factor per air dry volumen,
51,Czechoslovakia,c01,"Industrial roundwood, coniferous",,,tC/m3,0.210117119444445,cf_wdensity,carbon conversion factor per air dry volumen,
52,Azerbaijan,c01,"Industrial roundwood, coniferous",,,tC/m3,0.2079065,cf_wdensity,carbon conversion factor per air dry volumen,
53,Benin,c01,"Industrial roundwood, coniferous",,,tC/m3,0.21804,cf_wdensity,carbon conversion factor per air dry volumen,
54,Denmark,c01,"Industrial roundwood, coniferous",,,tC/m3,0.195,cf_wdensity,carbon conversion factor per air dry volumen,
55,Dominica,c01,"Industrial roundwood, coniferous",,,tC/m3,0.2063225,cf_wdensity,carbon conversion factor per air dry volumen,
56,Dominican Republic,c01,"Industrial roundwood, coniferous",,,tC/m3,0.2063225,cf_wdensity,carbon conversion factor per air dry volumen,
57,Belarus,c01,"Industrial roundwood, coniferous",,,tC/m3,0.210117119444445,cf_wdensity,carbon conversion factor per air dry volumen,
58,Ecuador,c01,"Industrial roundwood, coniferous",,,tC/m3,0.2063225,cf_wdensity,carbon conversion factor per air dry volumen,
59,Egypt,c01,"Industrial roundwood, coniferous",,,tC/m3,0.21804,cf_wdensity,carbon conversion factor per air dry volumen,
60,El Salvador,c01,"Industrial roundwood, coniferous",,,tC/m3,0.2063225,cf_wdensity,carbon conversion factor per air dry volumen,
61,Equatorial Guinea,c01,"Industrial roundwood, coniferous",,,tC/m3,0.21804,cf_wdensity,carbon conversion factor per air dry volumen,
63,Estonia,c01,"Industrial roundwood, coniferous",,,tC/m3,0.210117119444445,cf_wdensity,carbon conversion factor per air dry volumen,
64,Faroe Islands,c01,"Industrial roundwood, coniferous",,,tC/m3,0.210117119444445,cf_wdensity,carbon conversion factor per air dry volumen,
65,Falkland Islands (Malvinas),c01,"Industrial roundwood, coniferous",,,tC/m3,0.2063225,cf_wdensity,carbon conversion factor per air dry volumen,
66,Fiji,c01,"Industrial roundwood, coniferous",,,tC/m3,0.2165,cf_wdensity,carbon conversion factor per air dry volumen,
67,Finland,c01,"Industrial roundwood, coniferous",,,tC/m3,0.2024975,cf_wdensity,carbon conversion factor per air dry volumen,
68,France,c01,"Industrial roundwood, coniferous",,,tC/m3,0.2083282,cf_wdensity,carbon conversion factor per air dry volumen,
69,French Guyana,c01,"Industrial roundwood, coniferous",,,tC/m3,0.2063225,cf_wdensity,carbon conversion factor per air dry volumen,
70,French Polynesia,c01,"Industrial roundwood, coniferous",,,tC/m3,0.2165,cf_wdensity,carbon conversion factor per air dry volumen,
71,French Southern and Antarctic Territories,c01,"Industrial roundwood, coniferous",,,tC/m3,0.2165,cf_wdensity,carbon conversion factor per air dry volumen,
72,Djibouti,c01,"Industrial roundwood, coniferous",,,tC/m3,0.21804,cf_wdensity,carbon conversion factor per air dry volumen,
73,Georgia,c01,"Industrial roundwood, coniferous",,,tC/m3,0.2079065,cf_wdensity,carbon conversion factor per air dry volumen,
74,Gabon,c01,"Industrial roundwood, coniferous",,,tC/m3,0.21804,cf_wdensity,carbon conversion factor per air dry volumen,
75,Gambia,c01,"Industrial roundwood, coniferous",,,tC/m3,0.21804,cf_wdensity,carbon conversion factor per air dry volumen,
79,Germany,c01,"Industrial roundwood, coniferous",,,tC/m3,0.1945,cf_wdensity,carbon conversion factor per air dry volumen,
80,Bosnia and Herzegovina,c01,"Industrial roundwood, coniferous",,,tC/m3,0.210117119444445,cf_wdensity,carbon conversion factor per air dry volumen,
81,Ghana,c01,"Industrial roundwood, coniferous",,,tC/m3,0.21804,cf_wdensity,carbon conversion factor per air dry volumen,
82,Gibraltar,c01,"Industrial roundwood, coniferous",,,tC/m3,0.210117119444445,cf_wdensity,carbon conversion factor per air dry volumen,
83,Kiribati,c01,"Industrial roundwood, coniferous",,,tC/m3,0.2165,cf_wdensity,carbon conversion factor per air dry volumen,
84,Greece,c01,"Industrial roundwood, coniferous",,,tC/m3,0.210117119444445,cf_wdensity,carbon conversion factor per air dry volumen,
85,Greenland,c01,"Industrial roundwood, coniferous",,,tC/m3,0.210117119444445,cf_wdensity,carbon conversion factor per air dry volumen,
86,Grenada,c01,"Industrial roundwood, coniferous",,,tC/m3,0.2063225,cf_wdensity,carbon conversion factor per air dry volumen,
87,Guadeloupe,c01,"Industrial roundwood, coniferous",,,tC/m3,0.2063225,cf_wdensity,carbon conversion factor per air dry volumen,
88,Guam,c01,"Industrial roundwood, coniferous",,,tC/m3,0.2165,cf_wdensity,carbon conversion factor per air dry volumen,
89,Guatemala,c01,"Industrial roundwood, coniferous",,,tC/m3,0.2063225,cf_wdensity,carbon conversion factor per air dry volumen,
90,Guinea,c01,"Industrial roundwood, coniferous",,,tC/m3,0.21804,cf_wdensity,carbon conversion factor per air dry volumen,
91,Guyana,c01,"Industrial roundwood, coniferous",,,tC/m3,0.2063225,cf_wdensity,carbon conversion factor per air dry volumen,
93,Haiti,c01,"Industrial roundwood, coniferous",,,tC/m3,0.2063225,cf_wdensity,carbon conversion factor per air dry volumen,
94,Holy See,c01,"Industrial roundwood, coniferous",,,tC/m3,0.210117119444445,cf_wdensity,carbon conversion factor per air dry volumen,
95,Honduras,c01,"Industrial roundwood, coniferous",,,tC/m3,0.2063225,cf_wdensity,carbon conversion factor per air dry volumen,
96,"China, Hong Kong SAR",c01,"Industrial roundwood, coniferous",,,tC/m3,0.2079065,cf_wdensity,carbon conversion factor per air dry volumen,
97,Hungary,c01,"Industrial roundwood, coniferous",,,tC/m3,0.210117119444445,cf_wdensity,carbon conversion factor per air dry volumen,
98,Croatia,c01,"Industrial roundwood, coniferous",,,tC/m3,0.1870015,cf_wdensity,carbon conversion factor per air dry volumen,
99,Iceland,c01,"Industrial roundwood, coniferous",,,tC/m3,0.210117119444445,cf_wdensity,carbon conversion factor per air dry volumen,
100,India,c01,"Industrial roundwood, coniferous",,,tC/m3,0.2079065,cf_wdensity,carbon conversion factor per air dry volumen,
101,Indonesia,c01,"Industrial roundwood, coniferous",,,tC/m3,0.2075,cf_wdensity,carbon conversion factor per air dry volumen,
102,Iran (Islamic Republic of),c01,"Industrial roundwood, coniferous",,,tC/m3,0.2079065,cf_wdensity,carbon conversion factor per air dry volumen,
103,Iraq,c01,"Industrial roundwood, coniferous",,,tC/m3,0.2079065,cf_wdensity,carbon conversion factor per air dry volumen,
104,Ireland,c01,"Industrial roundwood, coniferous",,,tC/m3,0.18,cf_wdensity,carbon conversion factor per air dry volumen,
105,Israel,c01,"Industrial roundwood, coniferous",,,tC/m3,0.2079065,cf_wdensity,carbon conversion factor per air dry volumen,
106,Italy,c01,"Industrial roundwood, coniferous",,,tC/m3,0.210117119444445,cf_wdensity,carbon conversion factor per air dry volumen,
107,Cote d'Ivoire,c01,"Industrial roundwood, coniferous",,,tC/m3,0.21804,cf_wdensity,carbon conversion factor per air dry volumen,
108,Kazakhstan,c01,"Industrial roundwood, coniferous",,,tC/m3,0.2079065,cf_wdensity,carbon conversion factor per air dry volumen,
109,Jamaica,c01,"Industrial roundwood, coniferous",,,tC/m3,0.2063225,cf_wdensity,carbon conversion factor per air dry volumen,
110,Japan,c01,"Industrial roundwood, coniferous",,,tC/m3,0.2079065,cf_wdensity,carbon conversion factor per air dry volumen,
112,Jordan,c01,"Industrial roundwood, coniferous",,,tC/m3,0.2079065,cf_wdensity,carbon conversion factor per air dry volumen,
113,Kyrgyzstan,c01,"Industrial roundwood, coniferous",,,tC/m3,0.2079065,cf_wdensity,carbon conversion factor per air dry volumen,
114,Kenya,c01,"Industrial roundwood, coniferous",,,tC/m3,0.21804,cf_wdensity,carbon conversion factor per air dry volumen,
115,Cambodia,c01,"Industrial roundwood, coniferous",,,tC/m3,0.2079065,cf_wdensity,carbon conversion factor per air dry volumen,
116,Democratic People's Republic of Korea,c01,"Industrial roundwood, coniferous",,,tC/m3,0.2079065,cf_wdensity,carbon conversion factor per air dry volumen,
117,Republic of Korea,c01,"Industrial roundwood, coniferous",,,tC/m3,0.2079065,cf_wdensity,carbon conversion factor per air dry volumen,
118,Kuwait,c01,"Industrial roundwood, coniferous",,,tC/m3,0.2079065,cf_wdensity,carbon conversion factor per air dry volumen,
119,Latvia,c01,"Industrial roundwood, coniferous",,,tC/m3,0.210117119444445,cf_wdensity,carbon conversion factor per air dry volumen,
120,Lao People's Democratic Republic,c01,"Industrial roundwood, coniferous",,,tC/m3,0.2079065,cf_wdensity,carbon conversion factor per air dry volumen,
121,Lebanon,c01,"Industrial roundwood, coniferous",,,tC/m3,0.2079065,cf_wdensity,carbon conversion factor per air dry volumen,
122,Lesotho,c01,"Industrial roundwood, coniferous",,,tC/m3,0.21804,cf_wdensity,carbon conversion factor per air dry volumen,
123,Liberia,c01,"Industrial roundwood, coniferous",,,tC/m3,0.21804,cf_wdensity,carbon conversion factor per air dry volumen,
124,Libya,c01,"Industrial roundwood, coniferous",,,tC/m3,0.21804,cf_wdensity,carbon conversion factor per air dry volumen,
125,Liechtenstein,c01,"Industrial roundwood, coniferous",,,tC/m3,0.210117119444445,cf_wdensity,carbon conversion factor per air dry volumen,
126,Lithuania,c01,"Industrial roundwood, coniferous",,,tC/m3,0.21,cf_wdensity,carbon conversion factor per air dry volumen,
127,Marshall Islands,c01,"Industrial roundwood, coniferous",,,tC/m3,0.2165,cf_wdensity,carbon conversion factor per air dry volumen,
128,"China, Macao SAR",c01,"Industrial roundwood, coniferous",,,tC/m3,0.2079065,cf_wdensity,carbon conversion factor per air dry volumen,
129,Madagascar,c01,"Industrial roundwood, coniferous",,,tC/m3,0.21804,cf_wdensity,carbon conversion factor per air dry volumen,
130,Malawi,c01,"Industrial roundwood, coniferous",,,tC/m3,0.21804,cf_wdensity,carbon conversion factor per air dry volumen,
131,Malaysia,c01,"Industrial roundwood, coniferous",,,tC/m3,0.2079065,cf_wdensity,carbon conversion factor per air dry volumen,
132,Maldives,c01,"Industrial roundwood, coniferous",,,tC/m3,0.2079065,cf_wdensity,carbon conversion factor per air dry volumen,
133,Mali,c01,"Industrial roundwood, coniferous",,,tC/m3,0.21804,cf_wdensity,carbon conversion factor per air dry volumen,
134,Malta,c01,"Industrial roundwood, coniferous",,,tC/m3,0.210117119444445,cf_wdensity,carbon conversion factor per air dry volumen,
135,Martinique,c01,"Industrial roundwood, coniferous",,,tC/m3,0.2063225,cf_wdensity,carbon conversion factor per air dry volumen,
136,Mauritania,c01,"Industrial roundwood, coniferous",,,tC/m3,0.21804,cf_wdensity,carbon conversion factor per air dry volumen,
137,Mauritius,c01,"Industrial roundwood, coniferous",,,tC/m3,0.21804,cf_wdensity,carbon conversion factor per air dry volumen,
138,Mexico,c01,"Industrial roundwood, coniferous",,,tC/m3,0.22324,cf_wdensity,carbon conversion factor per air dry volumen,
141,Mongolia,c01,"Industrial roundwood, coniferous",,,tC/m3,0.2079065,cf_wdensity,carbon conversion factor per air dry volumen,
142,Montserrat,c01,"Industrial roundwood, coniferous",,,tC/m3,0.2063225,cf_wdensity,carbon conversion factor per air dry volumen,
143,Morocco,c01,"Industrial roundwood, coniferous",,,tC/m3,0.21804,cf_wdensity,carbon conversion factor per air dry volumen,
144,Mozambique,c01,"Industrial roundwood, coniferous",,,tC/m3,0.21804,cf_wdensity,carbon conversion factor per air dry volumen,
145,Micronesia (Federated States of),c01,"Industrial roundwood, coniferous",,,tC/m3,0.2165,cf_wdensity,carbon conversion factor per air dry volumen,
146,Republic of Moldova,c01,"Industrial roundwood, coniferous",,,tC/m3,0.210117119444445,cf_wdensity,carbon conversion factor per air dry volumen,
147,Namibia,c01,"Industrial roundwood, coniferous",,,tC/m3,0.21804,cf_wdensity,carbon conversion factor per air dry volumen,
148,Nauru,c01,"Industrial roundwood, coniferous",,,tC/m3,0.2165,cf_wdensity,carbon conversion factor per air dry volumen,
149,Nepal,c01,"Industrial roundwood, coniferous",,,tC/m3,0.2079065,cf_wdensity,carbon conversion factor per air dry volumen,
150,Netherlands,c01,"Industrial roundwood, coniferous",,,tC/m3,0.22,cf_wdensity,carbon conversion factor per air dry volumen,
151,Netherlands Antilles,c01,"Industrial roundwood, coniferous",,,tC/m3,0.2063225,cf_wdensity,carbon conversion factor per air dry volumen,
153,New Caledonia,c01,"Industrial roundwood, coniferous",,,tC/m3,0.2165,cf_wdensity,carbon conversion factor per air dry volumen,
154,North Macedonia,c01,"Industrial roundwood, coniferous",,,tC/m3,0.210117119444445,cf_wdensity,carbon conversion factor per air dry volumen,
155,Vanuatu,c01,"Industrial roundwood, coniferous",,,tC/m3,0.2165,cf_wdensity,carbon conversion factor per air dry volumen,
156,New Zealand,c01,"Industrial roundwood, coniferous",,,tC/m3,0.2165,cf_wdensity,carbon conversion factor per air dry volumen,
157,Nicaragua,c01,"Industrial roundwood, coniferous",,,tC/m3,0.2063225,cf_wdensity,carbon conversion factor per air dry volumen,
158,Niger,c01,"Industrial roundwood, coniferous",,,tC/m3,0.21804,cf_wdensity,carbon conversion factor per air dry volumen,
159,Nigeria,c01,"Industrial roundwood, coniferous",,,tC/m3,0.21804,cf_wdensity,carbon conversion factor per air dry volumen,
160,Niue,c01,"Industrial roundwood, coniferous",,,tC/m3,0.2165,cf_wdensity,carbon conversion factor per air dry volumen,
161,Norfolk Island,c01,"Industrial roundwood, coniferous",,,tC/m3,0.2165,cf_wdensity,carbon conversion factor per air dry volumen,
162,Norway,c01,"Industrial roundwood, coniferous",,,tC/m3,0.2,cf_wdensity,carbon conversion factor per air dry volumen,
163,Northern Mariana Islands,c01,"Industrial roundwood, coniferous",,,tC/m3,0.2165,cf_wdensity,carbon conversion factor per air dry volumen,
164,Pacific Islands Trust Territory,c01,"Industrial roundwood, coniferous",,,tC/m3,0.2079065,cf_wdensity,carbon conversion factor per air dry volumen,
165,Pakistan,c01,"Industrial roundwood, coniferous",,,tC/m3,0.2079065,cf_wdensity,carbon conversion factor per air dry volumen,
166,Panama,c01,"Industrial roundwood, coniferous",,,tC/m3,0.2063225,cf_wdensity,carbon conversion factor per air dry volumen,
167,Czechia,c01,"Industrial roundwood, coniferous",,,tC/m3,0.217,cf_wdensity,carbon conversion factor per air dry volumen,
168,Papua New Guinea,c01,"Industrial roundwood, coniferous",,,tC/m3,0.2165,cf_wdensity,carbon conversion factor per air dry volumen,
169,Paraguay,c01,"Industrial roundwood, coniferous",,,tC/m3,0.2063225,cf_wdensity,carbon conversion factor per air dry volumen,
170,Peru,c01,"Industrial roundwood, coniferous",,,tC/m3,0.2063225,cf_wdensity,carbon conversion factor per air dry volumen,
171,Philippines,c01,"Industrial roundwood, coniferous",,,tC/m3,0.2079065,cf_wdensity,carbon conversion factor per air dry volumen,
172,Pitcairn Islands,c01,"Industrial roundwood, coniferous",,,tC/m3,0.2165,cf_wdensity,carbon conversion factor per air dry volumen,
173,Poland,c01,"Industrial roundwood, coniferous",,,tC/m3,0.24,cf_wdensity,carbon conversion factor per air dry volumen,
174,Portugal,c01,"Industrial roundwood, coniferous",,,tC/m3,0.2163136,cf_wdensity,carbon conversion factor per air dry volumen,
175,Guinea-Bissau,c01,"Industrial roundwood, coniferous",,,tC/m3,0.21804,cf_wdensity,carbon conversion factor per air dry volumen,
176,Timor-Leste,c01,"Industrial roundwood, coniferous",,,tC/m3,0.2079065,cf_wdensity,carbon conversion factor per air dry volumen,
178,Eritrea,c01,"Industrial roundwood, coniferous",,,tC/m3,0.21804,cf_wdensity,carbon conversion factor per air dry volumen,
179,Qatar,c01,"Industrial roundwood, coniferous",,,tC/m3,0.2079065,cf_wdensity,carbon conversion factor per air dry volumen,
180,Palau,c01,"Industrial roundwood, coniferous",,,tC/m3,0.2165,cf_wdensity,carbon conversion factor per air dry volumen,
181,Zimbabwe,c01,"Industrial roundwood, coniferous",,,tC/m3,0.21804,cf_wdensity,carbon conversion factor per air dry volumen,
182,Reunion,c01,"Industrial roundwood, coniferous",,,tC/m3,0.21804,cf_wdensity,carbon conversion factor per air dry volumen,
183,Romania,c01,"Industrial roundwood, coniferous",,,tC/m3,0.210117119444445,cf_wdensity,carbon conversion factor per air dry volumen,
184,Rwanda,c01,"Industrial roundwood, coniferous",,,tC/m3,0.21804,cf_wdensity,carbon conversion factor per air dry volumen,
185,Russian Federation,c01,"Industrial roundwood, coniferous",,,tC/m3,0.25124725,cf_wdensity,carbon conversion factor per air dry volumen,
186,Serbia and Montenegro,c01,"Industrial roundwood, coniferous",,,tC/m3,0.210117119444445,cf_wdensity,carbon conversion factor per air dry volumen,
187,"Saint Helena, Ascension and Tristan da Cunha",c01,"Industrial roundwood, coniferous",,,tC/m3,0.21804,cf_wdensity,carbon conversion factor per air dry volumen,
188,Saint Kitts and Nevis,c01,"Industrial roundwood, coniferous",,,tC/m3,0.2063225,cf_wdensity,carbon conversion factor per air dry volumen,
189,Saint Lucia,c01,"Industrial roundwood, coniferous",,,tC/m3,0.2063225,cf_wdensity,carbon conversion factor per air dry volumen,
190,Saint Pierre and Miquelon,c01,"Industrial roundwood, coniferous",,,tC/m3,0.22473295,cf_wdensity,carbon conversion factor per air dry volumen,
191,Saint Vincent and the Grenadines,c01,"Industrial roundwood, coniferous",,,tC/m3,0.2063225,cf_wdensity,carbon conversion factor per air dry volumen,
192,San Marino,c01,"Industrial roundwood, coniferous",,,tC/m3,0.210117119444445,cf_wdensity,carbon conversion factor per air dry volumen,
193,Sao Tome and Principe,c01,"Industrial roundwood, coniferous",,,tC/m3,0.21804,cf_wdensity,carbon conversion factor per air dry volumen,
194,Saudi Arabia,c01,"Industrial roundwood, coniferous",,,tC/m3,0.2079065,cf_wdensity,carbon conversion factor per air dry volumen,
195,Senegal,c01,"Industrial roundwood, coniferous",,,tC/m3,0.21804,cf_wdensity,carbon conversion factor per air dry volumen,
196,Seychelles,c01,"Industrial roundwood, coniferous",,,tC/m3,0.21804,cf_wdensity,carbon conversion factor per air dry volumen,
197,Sierra Leone,c01,"Industrial roundwood, coniferous",,,tC/m3,0.21804,cf_wdensity,carbon conversion factor per air dry volumen,
198,Slovenia,c01,"Industrial roundwood, coniferous",,,tC/m3,0.2025,cf_wdensity,carbon conversion factor per air dry volumen,
199,Slovakia,c01,"Industrial roundwood, coniferous",,,tC/m3,0.210117119444445,cf_wdensity,carbon conversion factor per air dry volumen,
200,Singapore,c01,"Industrial roundwood, coniferous",,,tC/m3,0.2079065,cf_wdensity,carbon conversion factor per air dry volumen,
201,Somalia,c01,"Industrial roundwood, coniferous",,,tC/m3,0.21804,cf_wdensity,carbon conversion factor per air dry volumen,
202,South Africa,c01,"Industrial roundwood, coniferous",,,tC/m3,0.21804,cf_wdensity,carbon conversion factor per air dry volumen,
203,Spain,c01,"Industrial roundwood, coniferous",,,tC/m3,0.218,cf_wdensity,carbon conversion factor per air dry volumen,
205,Western Sahara,c01,"Industrial roundwood, coniferous",,,tC/m3,0.21804,cf_wdensity,carbon conversion factor per air dry volumen,
207,Suriname,c01,"Industrial roundwood, coniferous",,,tC/m3,0.2063225,cf_wdensity,carbon conversion factor per air dry volumen,
208,Tajikistan,c01,"Industrial roundwood, coniferous",,,tC/m3,0.2079065,cf_wdensity,carbon conversion factor per air dry volumen,
209,Eswatini,c01,"Industrial roundwood, coniferous",,,tC/m3,0.21804,cf_wdensity,carbon conversion factor per air dry volumen,
210,Sweden,c01,"Industrial roundwood, coniferous",,,tC/m3,0.2044745,cf_wdensity,carbon conversion factor per air dry volumen,
211,Switzerland,c01,"Industrial roundwood, coniferous",,,tC/m3,0.2202456,cf_wdensity,carbon conversion factor per air dry volumen,
212,Syrian Arab Republic,c01,"Industrial roundwood, coniferous",,,tC/m3,0.2079065,cf_wdensity,carbon conversion factor per air dry volumen,
213,Turkmenistan,c01,"Industrial roundwood, coniferous",,,tC/m3,0.2079065,cf_wdensity,carbon conversion factor per air dry volumen,
214,"China, Taiwan Province of",c01,"Industrial roundwood, coniferous",,,tC/m3,0.2079065,cf_wdensity,carbon conversion factor per air dry volumen,
215,United Republic of Tanzania,c01,"Industrial roundwood, coniferous",,,tC/m3,0.21804,cf_wdensity,carbon conversion factor per air dry volumen,
216,Thailand,c01,"Industrial roundwood, coniferous",,,tC/m3,0.2079065,cf_wdensity,carbon conversion factor per air dry volumen,
217,Togo,c01,"Industrial roundwood, coniferous",,,tC/m3,0.21804,cf_wdensity,carbon conversion factor per air dry volumen,
218,Tokelau,c01,"Industrial roundwood, coniferous",,,tC/m3,0.2165,cf_wdensity,carbon conversion factor per air dry volumen,
219,Tonga,c01,"Industrial roundwood, coniferous",,,tC/m3,0.21804,cf_wdensity,carbon conversion factor per air dry volumen,
220,Trinidad and Tobago,c01,"Industrial roundwood, coniferous",,,tC/m3,0.2063225,cf_wdensity,carbon conversion factor per air dry volumen,
221,Oman,c01,"Industrial roundwood, coniferous",,,tC/m3,0.2079065,cf_wdensity,carbon conversion factor per air dry volumen,
222,Tunisia,c01,"Industrial roundwood, coniferous",,,tC/m3,0.21804,cf_wdensity,carbon conversion factor per air dry volumen,
223,Turkey,c01,"Industrial roundwood, coniferous",,,tC/m3,0.210117119444445,cf_wdensity,carbon conversion factor per air dry volumen,
224,Turks and Caicos Islands,c01,"Industrial roundwood, coniferous",,,tC/m3,0.2063225,cf_wdensity,carbon conversion factor per air dry volumen,
225,United Arab Emirates,c01,"Industrial roundwood, coniferous",,,tC/m3,0.2079065,cf_wdensity,carbon conversion factor per air dry volumen,
226,Uganda,c01,"Industrial roundwood, coniferous",,,tC/m3,0.21804,cf_wdensity,carbon conversion factor per air dry volumen,
227,Tuvalu,c01,"Industrial roundwood, coniferous",,,tC/m3,0.2165,cf_wdensity,carbon conversion factor per air dry volumen,
